業務	BUC	アクティビティ	ユースケース	情報	条件	アクター	外部システム	説明
料金管理	レートプランを登録する	外部連携	レートプランを外部システムに送信する	レートプラン,外部連携設定	料金同期タイミング	施設管理者	サイトコントローラー,OTA	サイトコントローラー経由でOTAにレートプランを送信する
料金管理	レートプランを更新する	プラン検索	レートプランを検索する	レートプラン		施設管理者		更新対象のレートプランを検索する
料金管理	レートプランを更新する	料金更新	レートプラン料金を更新する	レートプラン	キャンセルポリシー適用,最小泊数制限	施設管理者		レートプランの料金や条件を更新する
料金管理	レートプランを更新する	外部同期	料金変更を外部システムに同期する	レートプラン,外部連携設定	料金同期タイミング	施設管理者	サイトコントローラー,OTA	更新した料金をサイトコントローラー経由でOTAに同期する
料金管理	料金カレンダーを設定する	日付選択	対象日付を選択する	料金カレンダー		施設管理者		料金を設定する日付範囲を選択する
料金管理	料金カレンダーを設定する	料金設定	日別料金を設定する	料金カレンダー		施設管理者		選択した日付の料金を設定する
料金管理	料金カレンダーを設定する	外部同期	料金を外部システムに同期する	料金カレンダー,外部連携設定	料金同期タイミング	施設管理者	サイトコントローラー,OTA	設定した料金をサイトコントローラー経由でOTAに同期する
予約管理	予約を取り込む	外部接続	サイトコントローラーに接続する	外部連携設定		予約管理部担当者	サイトコントローラー	サイトコントローラーに接続して予約データを取得する
予約管理	予約を取り込む	予約データ取得	予約データを取得する	予約,外部連携設定		予約管理部担当者	サイトコントローラー,OTA	新規予約・更新予約のデータを取得する
予約管理	予約を取り込む	データ検証	予約データを検証する	予約		予約管理部担当者		取得した予約データの整合性を検証する
予約管理	予約を取り込む	重複チェック	ダブルブッキングをチェックする	予約,在庫	ダブルブッキング禁止	予約管理部担当者	サイトコントローラー	予約の重複がないか確認する
予約管理	予約を取り込む	予約登録	予約を登録する	予約		予約管理部担当者		検証済みの予約データをシステムに登録する
予約管理	予約を取り込む	在庫更新	在庫を更新する	在庫	在庫数整合性,在庫同期タイミング	予約管理部担当者	サイトコントローラー,OTA	予約に応じて在庫数を更新する
予約管理	予約を検索する	検索条件入力	検索条件を入力する	予約		予約管理部担当者,フロントスタッフ		予約検索の条件（日付、ゲスト名、予約番号等）を入力する
予約管理	予約を検索する	検索実行	予約を検索する	予約		予約管理部担当者,フロントスタッフ		入力した条件で予約を検索する
予約管理	予約を検索する	検索結果表示	検索結果を表示する	予約		予約管理部担当者,フロントスタッフ		検索結果を一覧形式で表示する
予約管理	予約をカレンダーで確認する	カレンダー表示	予約カレンダーを表示する	予約		予約管理部担当者,フロントスタッフ		予約状況をカレンダー形式で表示する
予約管理	予約をカレンダーで確認する	施設切替	表示施設を切り替える	予約,施設	複数施設での施設切替	予約管理部担当者,フロントスタッフ		複数施設の場合に表示対象施設を切り替える
予約管理	予約をカレンダーで確認する	部屋タイプ別表示	部屋タイプ別に表示する	予約,部屋タイプ		予約管理部担当者,フロントスタッフ		部屋タイプ別の予約状況を表示する
予約管理	予約詳細を確認する	予約選択	予約を選択する	予約		予約管理部担当者,フロントスタッフ		詳細を確認する予約を選択する
予約管理	予約詳細を確認する	詳細表示	予約詳細を表示する	予約,ゲスト		予約管理部担当者,フロントスタッフ		予約の詳細情報を表示する
予約管理	予約情報を更新する	予約選択	予約を選択する	予約		予約管理部担当者,フロントスタッフ		更新対象の予約を選択する
予約管理	予約情報を更新する	情報変更	予約情報を変更する	予約		予約管理部担当者,フロントスタッフ		予約のステータスやゲスト要望などを変更する
予約管理	予約情報を更新する	外部同期	予約変更を外部システムに同期する	予約,外部連携設定	予約変更時の外部通知	予約管理部担当者	サイトコントローラー,OTA	予約変更をサイトコントローラー経由でOTAに同期する
予約管理	ダブルブッキングを調整する	重複検出	ダブルブッキングを検出する	予約,在庫	ダブルブッキング禁止	予約管理部担当者	サイトコントローラー	重複予約を検出する
予約管理	ダブルブッキングを調整する	代替部屋検索	代替可能部屋を検索する	部屋,部屋状態		予約管理部担当者		別の空き部屋を検索する
予約管理	ダブルブッキングを調整する	部屋再割当	部屋を再割り当てる	予約,部屋		予約管理部担当者		予約に別の部屋を割り当てる
予約管理	ダブルブッキングを調整する	ゲスト連絡	ゲストに連絡する	予約,ゲスト		予約管理部担当者	メール配信システム	変更内容をゲストに連絡する
予約管理	在庫を調整する	在庫確認	在庫状況を確認する	在庫	在庫数整合性	予約管理部担当者		部屋タイプ別・日別の在庫状況を確認する
予約管理	在庫を調整する	在庫変更	販売可能数を変更する	在庫	在庫数整合性	予約管理部担当者		販売可能在庫数を手動で調整する
予約管理	在庫を調整する	外部同期	在庫変更を外部システムに同期する	在庫,外部連携設定	在庫同期タイミング	予約管理部担当者	サイトコントローラー,OTA	在庫変更をサイトコントローラー経由でOTAに同期する
チェックイン業務	チェックイン案内を送信する	対象予約抽出	チェックイン対象予約を抽出する	予約		フロントスタッフ		チェックイン日が近い予約を抽出する
チェックイン業務	チェックイン案内を送信する	案内メール作成	案内メールを作成する	予約,チェックイン案内		フロントスタッフ		チェックイン案内の内容を作成する
チェックイン業務	チェックイン案内を送信する	メール送信	案内メールを送信する	予約,チェックイン案内,ゲスト		フロントスタッフ	メール配信システム	ゲストに案内メールを送信する
チェックイン業務	宿泊者名簿記入を依頼する	トークン発行	記入用トークンを発行する	チェックイン案内	トークン有効期限	フロントスタッフ		宿泊者名簿記入用の一時トークンURLを発行する
チェックイン業務	宿泊者名簿記入を依頼する	依頼メール送信	記入依頼メールを送信する	チェックイン案内,ゲスト	トークン有効期限	フロントスタッフ	メール配信システム	トークンURLを含む記入依頼メールを送信する
チェックイン業務	宿泊者名簿を確認する	名簿一覧表示	記入済み名簿を表示する	宿泊者名簿		フロントスタッフ		ゲストが記入した名簿の一覧を表示する
チェックイン業務	宿泊者名簿を確認する	内容確認	名簿内容を確認する	宿泊者名簿	宿泊者名簿記入必須	フロントスタッフ		名簿の記入内容を確認する
チェックイン業務	宿泊者名簿を確認する	確認完了	名簿確認を完了する	宿泊者名簿	宿泊者名簿記入必須	フロントスタッフ		名簿の確認ステータスを確認済に更新する
チェックイン業務	部屋をアサインする	予約確認	チェックイン予約を確認する	予約		フロントスタッフ		当日チェックイン予定の予約を確認する
チェックイン業務	部屋をアサインする	空室確認	利用可能部屋を確認する	部屋,部屋状態,清掃	清掃完了後アサイン	フロントスタッフ		清掃完了済みで利用可能な部屋を確認する
チェックイン業務	部屋をアサインする	部屋割当	部屋番号を割り当てる	予約,部屋	清掃完了後アサイン	フロントスタッフ		予約に実際の部屋番号を割り当てる
チェックイン業務	チェックイン処理を行う	ゲスト到着確認	ゲスト到着を確認する	予約	チェックイン時刻制約	フロントスタッフ		ゲストの到着を確認する
チェックイン業務	チェックイン処理を行う	ステータス更新	予約ステータスを更新する	予約	チェックイン時刻制約	フロントスタッフ		予約ステータスをチェックイン済に更新する
チェックイン業務	チェックイン処理を行う	部屋状態変更	部屋状態を変更する	部屋状態	チェックイン時刻制約	フロントスタッフ		部屋状態をOccupied（滞在中）に変更する
チェックイン業務	ゲストの要望を記録する	要望入力	ゲスト要望を入力する	予約		フロントスタッフ		アメニティ、到着時刻、ペット情報などの要望を入力する
チェックイン業務	ゲストの要望を記録する	要望保存	要望を保存する	予約		フロントスタッフ		入力した要望を予約情報に保存する
チェックアウト業務	チェックアウト処理を行う	ゲスト出発確認	ゲスト出発を確認する	予約	チェックアウト時刻制約	フロントスタッフ		ゲストの出発を確認する
チェックアウト業務	チェックアウト処理を行う	ステータス更新	予約ステータスを更新する	予約	チェックアウト時刻制約	フロントスタッフ		予約ステータスをチェックアウト済に更新する
チェックアウト業務	チェックアウト処理を行う	部屋状態変更	部屋状態を変更する	部屋状態	チェックアウト時刻制約	フロントスタッフ		部屋状態をDirty（清掃前）に変更する
チェックアウト業務	チェックアウト処理を行う	売上計上	売上を計上する	売上	売上計上タイミング	フロントスタッフ		チェックアウト時に売上データを確定・計上する
チェックアウト業務	清掃を依頼する	清掃対象登録	清掃対象として登録する	清掃		フロントスタッフ		チェックアウト済み部屋を清掃対象として登録する
チェックアウト業務	清掃を依頼する	清掃通知	清掃スタッフに通知する	清掃		フロントスタッフ		清掃スタッフに清掃依頼を通知する
清掃管理	清掃対象部屋を確認する	清掃リスト表示	清掃対象リストを表示する	清掃	モバイル操作対応	清掃スタッフ		清掃が必要な部屋の一覧を表示する
清掃管理	清掃対象部屋を確認する	優先順位表示	優先順位順に表示する	清掃,部屋状態	清掃優先順位,モバイル操作対応	清掃スタッフ		次回チェックイン予定時刻などに基づいて優先順位を表示する
清掃管理	清掃状況を更新する	部屋選択	清掃部屋を選択する	清掃	モバイル操作対応	清掃スタッフ		清掃する部屋を選択する
清掃管理	清掃状況を更新する	清掃開始	清掃開始を登録する	清掃	モバイル操作対応	清掃スタッフ		清掃ステータスを清掃中に更新する
清掃管理	清掃状況を更新する	清掃完了	清掃完了を登録する	清掃	モバイル操作対応	清掃スタッフ		清掃ステータスを清掃完了に更新する
清掃管理	備品不足を記録する	不足備品入力	不足備品を入力する	清掃	モバイル操作対応	清掃スタッフ		清掃中に発見した不足備品を入力する
清掃管理	備品不足を記録する	不足情報保存	不足情報を保存する	清掃	モバイル操作対応	清掃スタッフ		入力した不足備品情報を保存する
清掃管理	清掃完了を通知する	完了通知作成	完了通知を作成する	清掃	モバイル操作対応	清掃スタッフ		清掃完了の通知を作成する
清掃管理	清掃完了を通知する	フロント通知	フロントに通知する	清掃	モバイル操作対応	清掃スタッフ		清掃完了をフロントスタッフに通知する
清掃管理	清掃完了を確認する	完了部屋表示	清掃完了部屋を表示する	清掃,部屋状態		フロントスタッフ		清掃完了した部屋の一覧を表示する
清掃管理	清掃完了を確認する	点検実施	部屋を点検する	清掃,部屋		フロントスタッフ		清掃完了した部屋を点検する
清掃管理	清掃完了を確認する	確認完了	確認完了を登録する	部屋状態	清掃完了後アサイン	フロントスタッフ		点検完了後、部屋状態をInspected（点検済）に更新する
売上分析	売上レポートを作成する	集計期間選択	集計期間を選択する	売上		経理担当者		レポート作成の対象期間を選択する
売上分析	売上レポートを作成する	データ集計	売上データを集計する	売上		経理担当者		選択期間の売上データを集計する
売上分析	売上レポートを作成する	レポート生成	売上レポートを生成する	売上		経理担当者		集計結果をレポート形式で生成する
売上分析	売上レポートを作成する	レポート出力	レポートを出力する	売上		経理担当者		生成したレポートをPDFや表形式で出力する
売上分析	売上指標を分析する	指標選択	分析指標を選択する	売上	ADR計算式,OCC計算式,RevPAR計算式	経理担当者		分析するKPI（ADR、OCC、RevPAR等）を選択する
売上分析	売上指標を分析する	データ計算	指標を計算する	売上	ADR計算式,OCC計算式,RevPAR計算式	経理担当者		選択した指標を計算する
売上分析	売上指標を分析する	推移表示	指標推移を表示する	売上	ADR計算式,OCC計算式,RevPAR計算式	経理担当者		指標の時系列推移をグラフや表で表示する
売上分析	流入元別売上を分析する	OTA別集計	OTA別売上を集計する	売上		経理担当者		流入元OTA別に売上と手数料を集計する
売上分析	流入元別売上を分析する	比較分析	OTA別比較を行う	売上		経理担当者		各OTAの売上貢献度を比較分析する
売上分析	流入元別売上を分析する	分析結果表示	分析結果を表示する	売上		経理担当者		OTA別の分析結果をグラフや表で表示する
売上分析	対年比を分析する	前年データ取得	前年同期データを取得する	売上		経理担当者		比較対象となる前年同期のデータを取得する
売上分析	対年比を分析する	対年比計算	対年比を計算する	売上		経理担当者		当期と前年同期の比較を計算する
売上分析	対年比を分析する	増減分析	増減要因を分析する	売上		経理担当者		売上増減の要因を分析する
売上分析	対年比を分析する	分析結果表示	対年比結果を表示する	売上		経理担当者		対年比の分析結果を表示する
宿泊者名簿管理	宿泊者名簿を記入する	トークン認証	記入用URLにアクセスする	チェックイン案内	トークン有効期限	ゲスト		ゲストが受信したトークンURLにアクセスする
宿泊者名簿管理	宿泊者名簿を記入する	名簿入力	宿泊者情報を入力する	宿泊者名簿	宿泊者名簿記入必須	ゲスト		氏名、住所、電話番号、職業、国籍などを入力する
宿泊者名簿管理	宿泊者名簿を記入する	入力確認	入力内容を確認する	宿泊者名簿	宿泊者名簿記入必須	ゲスト		入力した内容を確認する
宿泊者名簿管理	宿泊者名簿を記入する	名簿送信	宿泊者名簿を送信する	宿泊者名簿	宿泊者名簿記入必須	ゲスト		入力完了した名簿を送信する
宿泊者名簿管理	宿泊者名簿を保存する	名簿受領	名簿データを受領する	宿泊者名簿	宿泊者名簿記入必須	フロントスタッフ		ゲストから送信された名簿データを受領する
宿泊者名簿管理	宿泊者名簿を保存する	データ保存	名簿を保存する	宿泊者名簿	宿泊者名簿記入必須	フロントスタッフ		旅館業法に基づき名簿データを適切に保存する
宿泊者名簿管理	滞在者を確認する	滞在者抽出	現在滞在中のゲストを抽出する	予約,宿泊者名簿		フロントスタッフ		チェックイン済かつチェックアウト前の予約を抽出する
宿泊者名簿管理	滞在者を確認する	滞在者リスト表示	滞在者リストを表示する	予約,宿泊者名簿		フロントスタッフ		緊急時に確認できる形式で滞在者リストを表示する
